"BehaviorSpace results (NetLogo 5.3.1)"
"Model 12 Marketing Networking in Micro Firms version promotores 2_Estrategiav19.nlogo"
"Promoters vs WoM_sales"
"09/19/2016 14:09:12:815 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","0","0","0"
"[all run data]","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters","WoM_sales","WoM_promoters","num_promoters"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","20","1","0","0","0","20","20","1"
,"0","0","0","0","0","0","0","0","0","0","0","0","20","20","1","0","0","0","19","19","1","8","8","2","0","0","0","8","8","2"
,"20","20","1","20","20","1","0","0","0","0","0","0","8","8","2","0","0","0","8","8","2","6","6","3","20","20","1","7","7","3"
,"9","8","2","8","8","2","0","0","0","0","0","0","9","9","3","0","0","0","6","6","3","42","42","6","8","8","2","43","43","6"
,"8","8","3","6","6","3","20","20","1","0","0","0","45","45","6","0","0","0","43","42","6","20","20","12","8","8","3","19","19","12"
,"42","42","6","43","43","6","8","8","2","19","19","1","21","21","12","9","9","1","20","20","12","65","65","18","43","43","6","64","64","18"
,"21","21","12","16","16","12","8","7","3","8","8","2","56","56","18","20","20","2","64","64","18","32","30","22","25","25","12","28","28","22"
,"75","75","19","52","52","17","41","40","6","8","6","3","38","38","22","13","13","3","28","28","22","64","64","25","69","67","18","67","67","25"
,"30","30","23","44","44","21","21","21","12","44","44","6","56","56","25","9","9","4","62","62","25","36","36","28","29","28","22","20","19","27"
,"65","63","26","27","27","23","64","64","18","17","17","12","39","39","26","45","45","8","32","31","27","71","71","30","65","65","25","59","58","27"
,"30","30","28","65","65","26","33","33","22","61","60","18","65","65","29","21","21","14","76","76","30","33","32","32","36","33","27","39","39","28"
,"76","76","30","49","49","28","60","60","25","32","32","22","37","37","32","68","68","20","28","27","32","70","69","35","79","78","30","57","56","30"
,"26","25","32","56","56","31","35","34","27","58","58","25","56","56","35","31","31","24","58","57","35","18","18","32","25","25","32","38","38","31"
,"64","64","35","38","38","34","66","66","29","35","35","27","23","21","33","60","59","27","24","23","32","29","29","26","70","70","35","28","26","25"
,"16","16","32","41","39","31","37","37","31","61","61","29","18","18","26","35","35","28","32","31","26","22","21","21","19","18","32","12","12","19"
,"37","33","26","22","21","25","58","58","34","44","44","32","17","17","20","62","62","30","14","14","20","24","24","17","28","28","26","26","24","16"
,"16","15","19","23","22","20","30","30","32","53","53","35","17","17","16","40","39","32","27","22","16","11","11","14","22","20","20","12","11","13"
,"23","22","15","21","21","17","30","30","26","23","23","32","19","18","13","49","49","35","4","4","13","13","12","11","19","18","16","11","11","11"
,"9","9","12","12","12","15","19","17","20","29","28","26","5","3","11","32","32","31","11","11","11","7","6","8","18","17","13","7","7","10"
,"12","11","10","16","16","12","18","18","16","15","15","20","14","13","8","22","21","25","3","2","7","7","7","5","7","7","11","13","12","8"
,"7","6","7","6","6","9","11","10","13","19","19","16","13","12","5","13","13","19","5","5","4","3","0","1","12","10","7","5","5","5"
,"5","5","4","7","6","5","15","15","11","9","8","13","1","0","1","19","19","15","0","0","0","0","0","1","4","4","4","1","0","1"
,"8","7","1","1","0","1","5","4","8","19","19","12","2","2","1","12","10","12","0","0","0","0","0","1","3","3","1","4","1","1"
